        Pin Assignment Report - Prepared - project_top
        ______________________________________________

ACE -- Achronix CAD Environment -- Version 9.0.1 -- Build  405518 -- Date 2023-03-01 00:42

Design: vp_project - impl_1 - project_top
Device: AC7t1500
Generated on Mon May 15 11:07:14 PDT 2023
Host: simtool-5

Pin Assignment =======

   Port Name                            Direction  Pad/Macro                                                Placed  Device Port                 Pad/Macro Site                                                            Registered  Clock Domain                          Target Frequency (MHz) 
   i_clk                                IN         i_clk_ipin                                               Fixed   i_user_06_09_trunk_00[21]   u_ic_north.u_ic_ns_tc0.u_ic_ns_trunktile.gclk_ipin[21]                    No          i_clk                                 100                    
   i_reg_clk                            IN         i_reg_clk_ipin                                           Fixed   i_user_06_09_trunk_00[19]   u_ic_north.u_ic_ns_tc0.u_ic_ns_trunktile.gclk_ipin[19]                    No          i_reg_clk                             200                    
   i_eth_ts_clk                         IN         i_eth_ts_clk_ipin                                        Fixed   i_user_06_09_trunk_00[20]   u_ic_north.u_ic_ns_tc0.u_ic_ns_trunktile.gclk_ipin[20]                    No          i_eth_ts_clk                          500                    
   pll_ddr_lock                         IN         pll_ddr_lock_ipin                                        Fixed   i_user_00_01_lut_17[0]      u_ic_west.u_ic_ew_lc00.u_ic_ew_luttile17.sg.slc0.ipin                     No          ---                                   ---                    
   pll_eth_sys_ne_0_lock                IN         pll_eth_sys_ne_0_lock_ipin                               Fixed   i_user_12_08_lut_17[0]      u_ic_east.u_ic_ew_lc07.u_ic_ew_luttile17.sg.slc0.ipin                     No          ---                                   ---                    
   pll_gddr_SE_lock                     IN         pll_gddr_SE_lock_ipin                                    Fixed   i_user_12_01_lut_17[0]      u_ic_east.u_ic_ew_lc00.u_ic_ew_luttile17.sg.slc0.ipin                     No          ---                                   ---                    
   pll_gddr_SW_lock                     IN         pll_gddr_SW_lock_ipin                                    Fixed   i_user_00_01_lut_17[1]      u_ic_west.u_ic_ew_lc00.u_ic_ew_luttile17.sg.slc1.ipin                     No          ---                                   ---                    
   pll_noc_ne_1_lock                    IN         pll_noc_ne_1_lock_ipin                                   Fixed   i_user_12_08_lut_17[1]      u_ic_east.u_ic_ew_lc07.u_ic_ew_luttile17.sg.slc1.ipin                     No          ---                                   ---                    
   pll_pcie_lock                        IN         pll_pcie_lock_ipin                                       Fixed   i_user_12_08_lut_17[2]      u_ic_east.u_ic_ew_lc07.u_ic_ew_luttile17.sg.slc2.ipin                     No          ---                                   ---                    
   i_jtag_in[7]                         IN         debugger.x_jtap_interface.x_acx_jtap.x_r2c_tdi_core      Fixed   i_cfg2ic_jtag_tdi           u_ic_west.u_ic_ew_lc00.u_ic_ew_luttile3.sg.slc27.ipin                     Yes         ---                                   ---                    
   i_jtag_in[6]                         IN         debugger.x_jtap_interface.x_acx_jtap.x_r2c_update_dr     Fixed   i_cfg2ic_update_dr          u_ic_west.u_ic_ew_lc00.u_ic_ew_luttile2.sg.slc27.ipin                     No          ---                                   ---                    
   i_jtag_in[5]                         IN         debugger.x_jtap_interface.x_acx_jtap.x_r2c_shift_dr      Fixed   i_cfg2ic_shift_dr           u_ic_west.u_ic_ew_lc00.u_ic_ew_luttile1.sg.slc27.ipin                     Yes         ---                                   ---                    
   i_jtag_in[4]                         IN         debugger.x_jtap_interface.x_acx_jtap.x_r2c_capture_dr    Fixed   i_cfg2ic_capture_dr         u_ic_west.u_ic_ew_lc00.u_ic_ew_luttile0.sg.slc27.ipin                     Yes         ---                                   ---                    
   i_jtag_in[3]                         IN         debugger.x_jtap_interface.x_acx_jtap.x_r2c_usr2_sel      Fixed   i_tap2ic_usr2_sel           u_ic_west.u_ic_ew_lc00.u_ic_ew_luttile8.sg.slc27.ipin                     Yes         ---                                   ---                    
